Date,Type,Value
2014-08-03 11:53:00,calories_burned,4117.0
2014-08-04 03:52:23,calories_burned,3633.0
2014-08-02 11:53:01,calories_burned,2567.0
2014-08-03 11:53:03,steps,16446.0
2014-08-04 03:52:21,steps,12294.0
2014-08-02 11:53:09,steps,1064.0
2014-08-03 02:34:38,nutrition_calories,460.0
2014-08-04 11:00:13,nutrition_calories,480.0
2014-08-02 14:00:00,nutrition_calories,190.0
2014-08-04 12:00:00,nutrition_calories,480.0
2014-08-03 08:00:00,nutrition_calories,425.0
2014-08-02 12:10:24,nutrition_calories,610.0
2014-08-02 12:10:04,nutrition_calories,235.0
2014-08-02 17:00:00,nutrition_calories,610.0
2014-08-03 02:34:28,nutrition_calories,425.0
2014-08-02 12:00:00,nutrition_calories,203.5
2014-08-04 17:00:00,nutrition_calories,580.0
2014-08-04 11:00:23,nutrition_calories,580.0
2014-08-03 17:00:00,nutrition_calories,602.5
2014-08-02 12:10:14,nutrition_calories,203.0
2014-08-03 12:00:00,nutrition_calories,460.0
2014-08-02 08:00:00,nutrition_calories,235.59
2014-08-03 02:34:48,nutrition_calories,602.0
2014-08-02 12:10:19,nutrition_calories,190.0
2014-08-03 02:34:38,nutrition_carbs,14.0
2014-08-03 02:34:28,nutrition_carbs,41.0
2014-08-04 11:00:23,nutrition_carbs,58.0
2014-08-04 11:00:13,nutrition_carbs,7.0
2014-08-02 12:10:24,nutrition_carbs,64.0
2014-08-02 12:10:14,nutrition_carbs,9.95
2014-08-02 12:10:04,nutrition_carbs,11.67
2014-08-03 02:34:48,nutrition_carbs,62.5
2014-08-02 12:10:19,nutrition_carbs,21.0
2014-08-03 02:34:38,nutrition_fat,16.0
2014-08-03 02:34:28,nutrition_fat,20.25
2014-08-04 11:00:23,nutrition_fat,27.0
2014-08-04 11:00:13,nutrition_fat,21.0
2014-08-02 12:10:24,nutrition_fat,27.0
2014-08-02 12:10:14,nutrition_fat,5.2
2014-08-02 12:10:04,nutrition_fat,11.8
2014-08-03 02:34:48,nutrition_fat,27.0
2014-08-02 12:10:19,nutrition_fat,8.0
2014-08-03 02:34:38,nutrition_fiber,34.0
2014-08-03 02:34:28,nutrition_fiber,4.5
2014-08-04 11:00:23,nutrition_fiber,6.0
2014-08-04 11:00:13,nutrition_fiber,34.0
2014-08-02 12:10:24,nutrition_fiber,1.5
2014-08-02 12:10:14,nutrition_fiber,11.05
2014-08-02 12:10:04,nutrition_fiber,0.01
2014-08-03 02:34:48,nutrition_fiber,2.63
2014-08-02 12:10:19,nutrition_fiber,17.0
2014-08-03 02:34:38,nutrition_protein,54.0
2014-08-03 02:34:28,nutrition_protein,22.5
2014-08-04 11:00:23,nutrition_protein,30.0
2014-08-04 11:00:13,nutrition_protein,56.0
2014-08-02 12:10:24,nutrition_protein,30.0
2014-08-02 12:10:14,nutrition_protein,25.65
2014-08-02 12:10:04,nutrition_protein,20.62
2014-08-03 02:34:48,nutrition_protein,30.0
2014-08-02 12:10:19,nutrition_protein,21.0
2014-08-03 02:34:38,nutrition_sodium,615.0
2014-08-03 02:34:28,nutrition_sodium,857.5
2014-08-04 11:00:23,nutrition_sodium,1250.0
2014-08-04 11:00:13,nutrition_sodium,960.0
2014-08-02 12:10:24,nutrition_sodium,1430.0
2014-08-02 12:10:14,nutrition_sodium,237.0
2014-08-02 12:10:04,nutrition_sodium,920.79
2014-08-03 02:34:48,nutrition_sodium,1385.0
2014-08-02 12:10:19,nutrition_sodium,280.0
2014-08-03 00:09:50,sleep_total,41.0
2014-08-04 01:17:43,sleep_total,399.0
2014-08-03 00:09:50,sleep_wake,18.0
2014-08-04 01:17:43,sleep_wake,39.0
2014-07-21 00:00:00,weight,120.202
2019-02-11 00:00:00,weight,116.119646719936
2019-03-21 00:00:00,weight,113.398090004921
2014-05-15 00:00:00,weight,119.0228
2019-02-07 00:00:00,weight,116.573239089935
2015-01-10 00:00:00,weight,108.8622
2015-04-26 00:00:00,weight,111.1301
2019-01-21 00:00:00,weight,118.841198325157
2014-08-03 00:00:00,weight,117.934
